"Asia/Dubai","14400","0"
"America/Detroit","-18000","1"
"Asia/Hong_Kong","28800","0"
"Europe/Luxembourg","10800","1"
"Europe/Madrid","10800","1"
"Asia/Singapore","28800","0"
"Asia/Shanghai","28800","0"
"Africa/Cairo","7200","0"
"Europe/Athens","7200","1"
"Australia/Sydney","36000","0"
"America/Toronto","-18000","1"
"America/Argentina/Buenos_Aires","-10800","0"
"Europe/Berlin","3600","1"
"Europe/Vienna","3600","1"
"Africa/Johannesburg","7200","0"
"Europe/Bucharest","7200","1"
"Europe/Paris","3600","1"
"Europe/Monaco","3600","1"
"Europe/Budapest","3600","1"
"America/Havana","-18000","1"
"Asia/Tokyo","32400","0"
"America/Los_Angeles","-28800","1"
"America/Chicago","-21600","1"
"America/New_York","-18000","1"
"Europe/Brussels","3600","1"
"Europe/Warsaw","3600","1"
"Europe/Minsk","10800","0"
"Europe/Istanbul","10800","0"
"Asia/Jerusalem","7200","1"
"Europe/Moscow","10800","0"
"Asia/Tbilisi","14400","0"
"Indian/Maldives","18000","0"
"Asia/Bangkok","25200","0"
"Pacific/Auckland","43200","0"
"Europe/Rome","3600","1"
"Europe/Zurich","3600","1"
"Europe/Prague","3600","1"
"Europe/London","0","1"
"Pacific/Guam","36000","0"
"Europe/Amsterdam","3600","1"
